Tom Wilkinson: Restricted 3-Body Force problem
Initial values: x0=0.001000 y0=0.000000 vel_x0=2.210000 vel_y0=0.000000 m+=2.100000 m-=2.100000
x y t
0.002105 0.000000 0.000500
0.003210 0.000000 0.001000
0.004315 0.000000 0.001500
0.005420 0.000000 0.002000
0.006525 0.000000 0.002500
0.007630 0.000000 0.003000
0.008735 0.000000 0.003500
0.009840 0.000000 0.004000
0.010945 0.000000 0.004500
0.012050 0.000000 0.005000
0.013156 0.000000 0.005500
0.014261 0.000000 0.006000
0.015366 0.000000 0.006500
0.016471 0.000000 0.007000
0.017577 0.000000 0.007500
0.018682 0.000000 0.008000
0.019787 0.000000 0.008500
0.020893 0.000000 0.009000
0.021998 0.000000 0.009500
0.023104 0.000000 0.010000
0.024209 0.000000 0.010500
0.025315 0.000000 0.011000
0.026420 0.000000 0.011500
0.027526 0.000000 0.012000
0.028632 0.000000 0.012500
0.029738 0.000000 0.013000
0.030843 0.000000 0.013500
0.031949 0.000000 0.014000
0.033055 0.000000 0.014500
0.034161 0.000000 0.015000
0.035268 0.000000 0.015500
0.036374 0.000000 0.016000
0.037480 0.000000 0.016500
0.038586 0.000000 0.017000
0.039693 0.000000 0.017500
0.040799 0.000000 0.018000
0.041906 0.000000 0.018500
0.043013 0.000000 0.019000
0.044120 0.000000 0.019500
0.045227 0.000000 0.020000
0.046334 0.000000 0.020500
0.047441 0.000000 0.021000
0.048548 0.000000 0.021500
0.049655 0.000000 0.022000
0.050762 0.000000 0.022500
0.051870 0.000000 0.023000
0.052978 0.000000 0.023500
0.054085 0.000000 0.024000
0.055193 0.000000 0.024500
0.056301 0.000000 0.025000
0.057409 0.000000 0.025500
0.058517 0.000000 0.026000
0.059626 0.000000 0.026500
0.060734 0.000000 0.027000
0.061843 0.000000 0.027500
0.062951 0.000000 0.028000
0.064060 0.000000 0.028500
0.065169 0.000000 0.029000
0.066278 0.000000 0.029500
0.067388 0.000000 0.030000
0.068497 0.000000 0.030500
0.069607 0.000000 0.031000
0.070716 0.000000 0.031500
0.071826 0.000000 0.032000
0.072936 0.000000 0.032500
0.074046 0.000000 0.033000
0.075157 0.000000 0.033500
0.076267 0.000000 0.034000
0.077378 0.000000 0.034500
0.078488 0.000000 0.035000
0.079599 0.000000 0.035500
0.080710 0.000000 0.036000
0.081822 0.000000 0.036500
0.082933 0.000000 0.037000
0.084045 0.000000 0.037500
0.085157 0.000000 0.038000
0.086269 0.000000 0.038500
0.087381 0.000000 0.039000
0.088493 0.000000 0.039500
0.089606 0.000000 0.040000
0.090719 0.000000 0.040500
0.091832 0.000000 0.041000
0.092945 0.000000 0.041500
0.094058 0.000000 0.042000
0.095172 0.000000 0.042500
0.096285 0.000000 0.043000
0.097399 0.000000 0.043500
0.098513 0.000000 0.044000
0.099628 0.000000 0.044500
0.100742 0.000000 0.045000
0.101857 0.000000 0.045500
0.102972 0.000000 0.046000
0.104087 0.000000 0.046500
0.105203 0.000000 0.047000
0.106319 0.000000 0.047500
0.107434 0.000000 0.048000
0.108551 0.000000 0.048500
0.109667 0.000000 0.049000
0.110784 0.000000 0.049500
0.111900 0.000000 0.050000
0.113018 0.000000 0.050500
0.114135 0.000000 0.051000
0.115252 0.000000 0.051500
0.116370 0.000000 0.052000
0.117488 0.000000 0.052500
0.118607 0.000000 0.053000
0.119725 0.000000 0.053500
0.120844 0.000000 0.054000
0.121963 0.000000 0.054500
0.123083 0.000000 0.055000
0.124202 0.000000 0.055500
0.125322 0.000000 0.056000
0.126442 0.000000 0.056500
0.127563 0.000000 0.057000
0.128684 0.000000 0.057500
